Smartphone_X, TruckType: 1, Paris
Laptop_Y, TruckType: 2, Lyon
Tablet_Z, TruckType: 1, Marseille
Smartwatch_A, TruckType: 2, Bordeaux
Bluetooth_Speaker_B, TruckType: 1, Nice
Gaming_Console_C, TruckType: 1, Toulouse
Digital_Camera_D, TruckType: 2, Nantes
Wireless_Earbuds_E, TruckType: 1, Paris
Smart_TV_F, TruckType: 2, Lyon
Home_Assistant_G, TruckType: 1, Marseille
VR_Headset_H, TruckType: 1, Bordeaux
Drone_I, TruckType: 2, Nice
Ebook_Reader_J, TruckType: 1, Toulouse
Desktop_PC_K, TruckType: 2, Nantes
Smart_Light_L, TruckType: 1, Paris
Fitness_Tracker_M, TruckType: 2, Lyon
Action_Camera_N, TruckType: 1, Marseille
Soundbar_O, TruckType: 1, Bordeaux
Robot_Vacuum_P, TruckType: 2, Nice
3D_Printer_Q, TruckType: 2, Toulouse
Portable_Projector_R, TruckType: 1, Nantes 
